#separator:tab
#html:true
What is the CIA triad?	Confidentiality, Integrity, Availability
What does confidentiality mean as part of the CIA triad?	"<ul><li>private or confidential information is not made available or
disclosed to unauthorized individuals<br></li><li>individuals control or influence what information related to them
may be collected and stored and by whom and to whom that information may
be disclosed<br></li></ul>"
What does integrity mean as part of the CIA triad?	"<ul><li>information and programs are changed only in a specified and
authorized manner<br></li><li>system performs its intended function in an unimpaired
manner, free from deliberate or inadvertent unauthorised manipulation of the
system<br></li></ul>"
What does availability mean as part of the CIA triad?	"<ul><li>systems work promptly and service is not denied to authorised
users<br></li></ul>"
What is authenticity in security?	"Verifying that users
are who they say they
are and that each
input arriving at the
system came from a
trusted source"
What is accountability in security?	"The security goal that
generates the
requirement for
actions of an entity to
be traced uniquely to
that entity"
What are the key components of the OSI Security Architecture?	Security attack, security mechanism, security service
What is a security attack in the OSI Security Architecture?	Any action that compromises the confidentiality, integrity, or availability of information owned by an organisation
What is a security mechanism as part of the OSI Security Architecture?	A process or device designed to detect, prevent, or recover from security attacks.
What is a security service as part of a OSI Security Architecture?	<div>A service that enhances security for data processing and communication within an organisation. It aims to counter security attacks and uses security mechanisms to achieve its objectives.</div>
What is a passive attack?	A passive attack attempts to learn or make use of information from the system but does not affect system resources.
What is an active attack?	"An active attack attempts to
alter system resources or
affect their operation."
What is a masquerade attack?	"One entity
pretends to be a different entity"
What is a replay attack?	Involves the passive capture of a data unit and its subsequent retransmission to produce an unauthorised effect
What is a modification of messages attack?	"Some portion of a legitimate
message is altered, or messages
are delayed or reordered to
produce an unauthorised effect"
What is a denial of service attack?	"Prevents or inhibits the normal
use or management of
communications facilities"
What does AAA stand for?	Authentication, Authorisation, Accountability
What are the three basic factors for authentication?	Something you know, something you have, something you are
What is a digital signature?	"A data unit that allows a recipient to prove the source and integrity of the data and
protect against forgery."
What is traffic padding?	"The insertion of bits into gaps in a data
stream to frustrate traffic analysis attempts."
What is routing control?	"Enables selection of particular physically or
logically secure routes for certain data."
What is notarisation?	"The use of a trusted third party to assure certain
properties of a data exchange."
What is a Message Authentication Code (MAC) or Keyed Hash Function?	"Takes as input a secret key and a data block and produces
a hash value (MAC) which is associated with the protected
message. If the integrity of the message needs to be checked, the
MAC function can be applied to the message and the
result compared with the associated MAC value."
What is the difference between cryptanalysis and brute-force attacks?	Cryptanalysis relies on knowledge of the algorithm
What is the difference between a block and stream cipher?	A block cipher encrypts fixed-size blocks of plaintext at a time (e.g., 128-bit blocks in AES), whereas a stream cipher encrypts data one bit or byte at a time, often using a keystream generator (e.g., RC4).
What is the difference between substitution and transposition in encryption?	Substitution replaces elements of the plaintext with different elements (e.g., replacing letters with other letters or symbols, like in the Caesar cipher), while transposition rearranges the order of the plaintext elements without changing them (e.g., swapping positions of letters, like in the Rail Fence cipher).
Define information security	This term refers to preservation of confidentiality, integrity, and availability of information. In addition, other properties, such as authenticity, accountability, nonrepudiation, and reliability can also be involved.
Define network security	"This term refers to protection of networks and their
service from unauthorised modification, destruction, or
disclosure, and provision of assurance that the network
performs its critical functions correctly and there are no
harmful side effects"
What is circuit switching?	<div>Establishes a dedicated communication path (circuit) between sender and receiver before data transmission begins. All data follows this same path until the session ends.</div>
What is packet switching?	<div>Data is divided into packets, and each packet may take a different route to the destination. No dedicated path; routers&nbsp; dynamically determine the best route for each packet.</div>
What OSI Model layer operates on segments?	Transport layer
What OSI Model layer operates on packets?	Network layer
What OSI Model layer operates on frames?	Data Link layer
What are the OSI Model layers?	Application<br>Presentation<br>Session<br>Transport<br>Network<br>Data Link<br>Physical
What is a frame?	Frames are chunks of data created by network communication hardware. They contain frame delimiters, hardware addresses, source and destination MAC addresses, and the encapsulated data.
What are packets?	"Packets are&nbsp;a stream of binary octets of data of some arbitrary
length. They are created by software not hardware so contain logically addressing information like IP addresses."
What are some application layer attacks?	Repudiation<br>Data Corruption
What are some transport layer attacks?	Session Hijacking<br>Sync Flooding
What are some network layer attacks?	Warm-hole<br>Black-hole<br>Gray-hole<br>Byzantine<br>Flooding<br>Resource consumption<br>Location disclosure<br>Sybil attack<br>Jelly-fish<br>Fabrication<br>Modification attack
What are some data link layer attacks?	Traffic analysis<br>Monitoring<br>Disruption<br>WEP weakness<br>Selfish-node
What are some physical layer attacks?	Jamming<br>Interception<br>Eavesdropping
What are some multi-layer attacks?	Dos attacks<br>Impersonation<br>Replay<br>Man-in-the-middle
What is DNS leaking?	Occurs when DNS queries bypass a secure connection (like a VPN) and are sent to an unintended DNS server, revealing browsing activity.
What is DNS hijacking?	Attackers intercept or modify DNS queries to redirect users to malicious websites.&nbsp;Can be performed by malware, ISPs, or even rogue governments.
What is DNS cache poisoning (spoofing)?	Attackers inject false DNS records into a resolver’s cache, making users resolve domains to malicious IPs.
What is DNS amplification?	Attackers spoof a victim’s IP address and send small DNS requests to open DNS resolvers that respond with large DNS replies, overloading the victim’s network. Used in DDoS attacks.
What is DoT?	DNS-over-TLS channels the original client requests through a secure TLS channel on port 853 instead of the common port 53 used for unencrypted DNS communication. This prevents attackers from seeing or manipulating information about the DNS request.
